ttt,crabID,sex,start_date,end_date,cw_start,cw_end,mass_start,mass_end,molt,molt_date,mort,mort_date,second_molt
B,122,M,8/7/2023,12/24/2023,53.5,71.6,75.5,152.1,1,10/5/2023,0,NA,0
A,123,M,8/7/2023,8/18/2023,54.0,71.0,NA,NA,1,8/7/2023,1,8/18/2023,0
A,124,M,8/7/2023,9/11/2023,55.9,73.4,NA,NA,1,8/22/2023,1,9/11/2023,0
A,213,F,10/17/2023,12/24/2023,56.2,NA,76.9,NA,0,NA,0,NA,0
B,125,F,8/7/2023,12/24/2023,57.5,76.6,99.9,191.6,1,11/8/2023,0,NA,0
B,126,M,8/7/2023,12/24/2023,60.0,75.4,NA,NA,1,8/26/2023,0,NA,0
A,127,M,8/7/2023,12/8/2023,60.5,76.3,107.1,195.1,1,10/21/2023,1,12/8/2023,0
B,128,M,8/7/2023,12/24/2023,60.6,77.4,113.7,219.3,1,10/24/2023,0,NA,0
A,129,M,8/7/2023,12/24/2023,60.7,NA,112.9,NA,0,NA,0,NA,0
B,214,F,10/6/2023,12/24/2023,60.9,77.6,90.4,168.5,1,10/17/2023,0,NA,0
A,215,M,10/6/2023,12/24/2023,61.0,NA,103.7,NA,0,NA,0,NA,0
A,130,M,8/7/2023,10/17/2023,62.5,NA,121.9,NA,0,NA,1,10/17/2023,0
A,216,M,10/6/2023,12/24/2023,63.2,NA,133.8,NA,0,NA,0,NA,0
A,131,F,8/7/2023,10/4/2023,63.5,92.9,NA,NA,1,8/15/2023,1,10/4/2023,0
B,132,M,8/7/2023,12/24/2023,64.0,83.2,129.4,254.6,1,11/19/2023,0,NA,0
A,133,M,8/7/2023,12/24/2023,64.3,NA,126.6,NA,0,NA,0,NA,0
A,217,M,10/6/2023,12/13/2023,64.6,82.7,136.4,254.0,1,12/8/2023,1,12/13/2023,0
B,134,M,8/7/2023,12/24/2023,65.9,85.2,NA,NA,1,9/2/2023,0,NA,0
A,135,M,8/7/2023,12/10/2023,67.0,NA,148.0,NA,0,NA,1,12/10/2023,0
A,136,F,8/7/2023,11/15/2023,67.7,NA,145.8,NA,0,NA,1,11/15/2023,0
A,137,F,11/24/2023,12/24/2023,68.8,NA,151.3,NA,0,NA,0,NA,0
A,218,M,10/6/2023,12/24/2023,69.1,NA,161.9,NA,0,NA,0,NA,0
B,138,F,8/7/2023,12/24/2023,70.5,91.3,185.1,320.2,1,10/23/2023,1,12/24/2023,0
B,139,M,8/7/2023,10/15/2023,70.7,NA,174.3,NA,0,NA,1,10/15/2023,0
A,140,M,8/7/2023,9/11/2023,71.0,NA,NA,NA,0,NA,1,9/11/2023,0
B,141,F,8/7/2023,10/17/2023,71.6,NA,173.8,NA,0,NA,1,10/17/2023,0
B,102,M,8/30/2023,12/24/2023,47.9,61.0,53.3,114.3,1,11/7/2023,0,NA,1
A,105,F,9/11/2023,12/24/2023,52.1,65.4,64.4,117.8,1,12/24/2023,0,NA,1
B,110,M,8/16/2023,12/24/2023,58.4,73.6,91.7,167.5,1,11/19/2023,0,NA,1
B,116,M,8/22/2023,12/8/2023,61.1,73.4,87.6,169.8,1,11/7/2023,1,12/8/2023,1
,,,,,,,,,,,,,
